employment_rate_overall,gross_monthly_mean,university
100,3751,Nanyang Technological University
100,3738,Nanyang Technological University
87,3382,Nanyang Technological University
83.7,3322,National University of Singapore
87.5,3377,National University of Singapore
88.2,3526,National University of Singapore
100,4228,National University of Singapore
79.4,3444,National University of Singapore
89.9,4050,National University of Singapore
91.8,3627,National University of Singapore
91,3982,National University of Singapore
88.9,3518,National University of Singapore
91.5,4051,National University of Singapore
88.6,3794,National University of Singapore
92.8,3877,National University of Singapore
97.3,5263,National University of Singapore
81.6,3289,National University of Singapore
87.3,3460,National University of Singapore
96.6,3723,National University of Singapore
95.7,3732,National University of Singapore
96.6,4424,National University of Singapore
95.2,3522,National University of Singapore
97.6,3683,National University of Singapore
96.9,4658,National University of Singapore
98.4,4472,National University of Singapore
93.5,4499,National University of Singapore
87,3371,National University of Singapore
89,3237,National University of Singapore
91.7,3372,National University of Singapore
94.6,3469,National University of Singapore
98,3546,National University of Singapore
81,2100,National University of Singapore
90.5,4381,National University of Singapore
89.5,5136,National University of Singapore
88.6,4188,National University of Singapore
84.2,3385,National University of Singapore
86.7,3324,Singapore Institute of Technology
91.2,2861,Singapore Institute of Technology
94.7,3576,Singapore Institute of Technology
96.8,4088,Singapore Institute of Technology
84.6,3451,Singapore Institute of Technology
94.5,3438,Singapore Institute of Technology
97.1,3439,Singapore Institute of Technology
93.5,3484,Singapore Institute of Technology
100,3479,Singapore Institute of Technology
92.3,3545,Singapore Institute of Technology
90.4,2895,Singapore Institute of Technology
96.3,3216,Singapore Institute of Technology
100,4116,Singapore Institute of Technology
95.7,3914,Singapore Institute of Technology
98.3,3688,Singapore Institute of Technology
92.1,2991,Singapore Institute of Technology
95.3,3536,Singapore Institute of Technology
95.8,3571,Singapore Institute of Technology
96.6,3431,Singapore Institute of Technology
100,3276,Singapore Institute of Technology
83.7,3298,Singapore Institute of Technology
83.3,3609,Singapore Institute of Technology
86.5,2929,Singapore Institute of Technology
84.9,3055,Singapore Institute of Technology
92.3,2796,Singapore Institute of Technology
78,3454,Singapore Institute of Technology
82.4,3451,Singapore Institute of Technology
94.3,3718,Singapore Institute of Technology
93.7,3812,Singapore Institute of Technology
94.7,3996,Singapore Institute of Technology
91.9,3726,Singapore Institute of Technology
100,2911,Singapore Institute of Technology
96.4,3607,Singapore Management University
96.3,4439,Singapore Management University
91.6,4133,Singapore Management University
97.4,4544,Singapore Management University
91.1,4140,Singapore Management University
93.4,4721,Singapore Management University
93.6,4160,Singapore Management University
100,4659,Singapore Management University
85.6,3409,Singapore Management University
84.2,3880,Singapore Management University
92.7,4856,Singapore Management University
94.4,5256,Singapore Management University
98.7,2879,Singapore University of Social Sciences
88,3393,Singapore University of Social Sciences
94,3023,Singapore University of Social Sciences
94.7,3826,Singapore University of Technology and Design
97.3,4544,Singapore University of Technology and Design
90,3893,Singapore University of Technology and Design
95.1,3945,Singapore University of Technology and Design
97.5,3254,Nanyang Technological University
97.9,4359,Nanyang Technological University
93.8,3797,Nanyang Technological University
94.4,4562,Nanyang Technological University
87.5,3939,Nanyang Technological University
81.3,3548,Nanyang Technological University
88.6,3921,Nanyang Technological University
94.9,3582,Nanyang Technological University
94.6,4074,Nanyang Technological University
97.4,4309,Nanyang Technological University
92.6,3884,Nanyang Technological University
83.9,3596,Nanyang Technological University
90.7,4006,Nanyang Technological University
98.3,3669,Nanyang Technological University
82,3817,Nanyang Technological University
84.5,3728,Nanyang Technological University
83.6,3068,Nanyang Technological University
90.1,3260,Nanyang Technological University
90.4,3264,Nanyang Technological University
88.2,3453,Nanyang Technological University
83.8,2997,Nanyang Technological University
73,3498,Nanyang Technological University
81.7,3365,Nanyang Technological University
82.6,3369,Nanyang Technological University
89.2,3506,Nanyang Technological University
90.2,3868,Nanyang Technological University
86.9,3441,Nanyang Technological University
81.6,3450,Nanyang Technological University
95.2,2979,Nanyang Technological University
80.9,3338,Nanyang Technological University
87.5,3416,Nanyang Technological University
91.2,3848,Nanyang Technological University
93.5,3996,Nanyang Technological University
90,3849,Nanyang Technological University
87,3438,Nanyang Technological University
100,3710,Nanyang Technological University
100,3758,Nanyang Technological University
100,5661,Nanyang Technological University
84.9,3456,National University of Singapore
92.7,3537,National University of Singapore
88,3674,National University of Singapore
100,4068,National University of Singapore
80.4,3535,National University of Singapore
92.4,3959,National University of Singapore
95,3746,National University of Singapore
89.6,4101,National University of Singapore
84.6,4285,National University of Singapore
89.5,3569,National University of Singapore
97.6,4451,National University of Singapore
78.6,4086,National University of Singapore
88.6,3847,National University of Singapore
95.7,5160,National University of Singapore
84,3320,National University of Singapore
88.5,3605,National University of Singapore
