"employment_rate_overall","gross_monthly_mean","category"
87.5,3377,"Arts1"
87,3371,"Arts1"
90.5,4381,"Arts1"
86.7,3324,"Arts1"
91.2,2861,"Arts1"
84.9,3055,"Arts1"
92.3,2796,"Arts1"
91.9,3726,"Arts1"
83.6,3068,"Arts1"
87.5,3416,"Arts1"
100,3710,"Arts1"
84.9,3456,"Arts1"
92.7,3537,"Arts1"
100,4199,"Arts1"
86.2,3245,"Arts1"
96,4197,"Arts1"
83.3,3167,"Arts1"
81.3,3051,"Arts1"
78.7,2832,"Arts1"
87.1,2760,"Arts1"
80.2,3823,"Arts1"
90.4,2925,"Arts1"
95.5,3657,"Arts1"
100,3682,"Arts1"
90.4,3868,"Arts1"
93.1,3586,"Arts1"
94,4058,"Arts1"
90.3,3417,"Arts1"
90.5,4370,"Arts1"
100,3575,"Arts1"
97.1,2862,"Arts1"
85.7,2876,"Arts1"
83.9,2992,"Arts1"
93.7,3919,"Arts1"
86.2,3182,"Arts1"
100,3888,"Arts1"
100,3718,"Arts1"
91.4,3600,"Arts1"
88.8,3731,"Arts1"
97.7,4139,"Arts1"
87.5,4178,"Arts1"
88.3,4453,"Arts1"
100,3490,"Arts1"
80,3125,"Arts1"
94.4,2989,"Arts1"
94.3,2807,"Arts1"
95.5,4001,"Arts1"
81.6,2638,"Arts2"
80,2791,"Arts2"
79.3,3457,"Arts2"
79.7,2761,"Arts2"
85.7,2986,"Arts2"
83.6,3068,"Arts2"
85.1,2924,"Arts3"
90.7,2883,"Arts3"
86.8,3006,"Arts3"
100,3018,"Arts3"
81.8,3045,"Arts3"
100,2882,"Arts3"
91.1,3345,"Arts3"
94.4,2577,"Arts3"
84.6,3147,"Arts3"
92,2792,"Arts3"
86.4,3260,"Arts3"
90.9,2953,"Arts3"
90.1,3260,"Arts3"
95.2,2979,"Arts3"
83.8,3310,"Arts3"
94.7,2969,"Arts3"
87,3483,"Arts3"
90.9,3119,"Arts3"
82.7,3179,"Arts4"
87,3432,"Arts4"
88,3322,"Arts4"
75,2997,"Arts4"
81.6,3124,"Arts4"
83.8,2997,"Arts4"
90.9,3561,"Arts4"
95.5,3354,"Arts4"
90.6,2725,"Arts5"
85.7,3148,"Arts5"
88.4,3753,"Arts5"
81.8,3368,"Arts5"
80,3117,"Arts5"
79.2,3091,"Arts5"
81.7,3365,"Arts5"
96.6,3472,"Arts5"
87.2,3398,"Arts5"
98.4,4400,"Architecture"
100,3467,"Architecture"
97.6,4099,"Architecture"
100,3266,"Architecture"
93.2,3960,"Architecture"
90,3239,"Architecture"
91.3,4079,"Architecture"
95.5,3537,"Architecture"
100,3479,"Architecture"
95.1,3945,"Architecture"
100,4199,"Architecture"
100,3985,"Architecture"
94,4058,"Architecture"
78.6,3244,"Architecture"
100,3982,"Architecture"
97.7,4139,"Architecture"
100,3592,"Architecture"
96.6,3842,"Architecture"
97.4,3727,"Business"
90.9,3214,"Business"
87.5,3615,"Business"
88.7,3062,"Business"
94.6,3512,"Business"
93.3,2922,"Business"
97.2,3143,"Business"
93.2,3520,"Business"
95.9,3975,"Business"
98.2,3597,"Business"
89.6,3318,"Business"
92.9,3431,"Business"
87.9,3367,"Business"
94.4,4090,"Business"
93.9,2989,"Business"
100,3407,"Business"
90.9,3752,"Business"
94.5,4116,"Business"
98.6,4438,"Business"
92.2,3502,"Business"
100,4395,"Business"
88.2,3341,"Business"
96,4326,"Business"
97.6,2983,"Business"
98.6,3587,"Business"
93.9,3611,"Business"
98.3,4130,"Business"
97.4,3893,"Business"
89.6,3444,"Business"
94.4,4407,"Business"
93.6,3282,"Business"
96.4,4207,"Business"
88.6,3020,"Business"
99,3465,"Business"
92.4,3831,"Business"
96.1,4234,"Business"
97.2,3892,"Business"
100,5225,"Business"
94.9,4031,"Business"
98.2,4388,"Business"
97.2,3473,"Business"
100,3744,"Business"
97.6,4203,"Business"
93.3,3995,"Business"
95.8,4504,"Business"
94.7,2829,"Business"
99.2,4456,"Business"
